sex,age,reason,c_birth,time\geo	BE 	DE 	IE 	EL 	ES 	FR 	IT 	CY 	LT 	LU 	NL 	AT 	PT 	SE 	UK 	NO 	CH 
F,Y15-74,WRK_JOB,NEU_HDI_L,2008	: c	: 	: c	: c	: c	: u	7 u	: c	: 	: c	: 	: 	: u	: 	3 u	: c	: u
F,Y15-74,WRK_JOB,NEU_HDI_M,2008	: c	: 	39 	: c	8 	: u	13 	76 	: 	: c	2 u	: u	: u	: c	13 	: c	16 u
F,Y15-74,WRK_JOB,NEU_NHDI,2008	: c	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c	: c	: 	: 	: c	: 	: 
F,Y15-74,WRK_JOB,NRP,2008	: 	8 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: u	: 	: 	: c
F,Y15-74,WRK_NJOB,EU27_FOR,2008	7 	: 	32 	39 	32 	15 u	30 	15 	: 	7 	4 	15 	: u	9 	26 	9 	13 
F,Y15-74,WRK_NJOB,FOR,2008	6 	6 	26 	42 	37 	10 	31 	15 	: u	7 	4 	17 	23 	4 	12 	6 	11 
F,Y15-74,WRK_NJOB,NEU_HDI_H,2008	6 u	: 	15 	44 	40 	: u	31 	21 	: u	: c	1 u	20 	32 	: u	8 	4 u	9 
F,Y15-74,WRK_NJOB,NEU_HDI_L,2008	: c	: 	: u	: u	16 u	: u	23 	: 	: 	: c	: u	: c	: u	: 	4 	: c	: u
F,Y15-74,WRK_NJOB,NEU_HDI_M,2008	: u	: 	10 	43 	39 	: u	33 	4 u	: c	: u	4 	: u	27 	: c	6 	: c	6 u
F,Y15-74,WRK_NJOB,NEU_NHDI,2008	: 	: 	: c	: 	: 	: 	: u	: 	: 	: 	8 u	: c	: 	: 	: 	: c	: 
F,Y15-74,WRK_NJOB,NRP,2008	: 	6 	: 	68 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
F,Y25-54,EDUC,EU27_FOR,2008	5 u	: 	5 	: u	3 	: u	5 	: 	: 	: u	6 	12 	: c	10 u	18 	8 u	4 
F,Y25-54,EDUC,FOR,2008	6 	5 	7 	1 u	2 	10 	3 	: u	: c	: u	7 	8 	: u	4 	15 	6 	5 
F,Y25-54,EDUC,NEU_HDI_H,2008	: u	: 	12 	: c	3 	: u	3 	: c	: c	: 	3 u	5 u	: c	: u	21 	8 u	4 
F,Y25-54,EDUC,NEU_HDI_L,2008	: u	: 	: c	: c	: c	: u	6 u	: 	: 	: 	: c	: 	: c	: c	13 	: c	: u
F,Y25-54,EDUC,NEU_HDI_M,2008	: u	: 	16 	: 	2 u	: u	: u	: c	: 	: 	7 	: u	: u	: u	9 	: c	10 u
F,Y25-54,EDUC,NEU_NHDI,2008	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33 	: c	: 	: 	: u	: 	: c
F,Y25-54,EDUC,NRP,2008	: 	5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 
F,Y25-54,FAM,EU27_FOR,2008	52 	: 	34 	33 	34 	59 	44 	53 	: u	54 	63 	43 	62 	64 	29 	70 	43 
F,Y25-54,FAM,FOR,2008	58 	56 	34 	33 	38 	68 	49 	32 	40 u	57 	63 	54 	51 	62 	45 	63 	52 
F,Y25-54,FAM,NEU_HDI_H,2008	57 	: 	39 	32 	37 	73 	50 	27 	39 u	77 	71 	62 	49 	63 	43 	68 	62 
F,Y25-54,FAM,NEU_HDI_L,2008	39 	: 	43 	65 u	68 	66 	61 	: c	: 	58 u	39 	: u	54 	63 	62 	66 	57 
F,Y25-54,FAM,NEU_HDI_M,2008	82 	: 	24 	28 u	41 	73 	49 	11 u	: 	74 u	67 	52 u	44 	63 	53 	63 	62 
F,Y25-54,FAM,NEU_NHDI,2008	: 	: 	: c	: 	: c	: 	57 u	: c	: 	: u	23 u	: u	: 	: u	: u	: u	: u
F,Y25-54,FAM,NRP,2008	: 	56 	: 	: c	: 	: c	: 	: 	: 	: 	: u	: 	: 	46 u	: 	66 u	: 
F,Y25-54,INTPRO,EU27_FOR,2008	: c	: 	: u	: u	: 	: c	: 	: 	: 	2 u	: 	: u	: 	: u	: c	: 	: u
F,Y25-54,INTPRO,FOR,2008	9 	12 	3 	8 	0 u	: u	: u	2 u	: 	3 	10 	8 	: u	22 	5 	14 	3 
F,Y25-54,INTPRO,NEU_HDI_H,2008	19 	: 	: u	10 	: c	: u	: c	3 u	: 	: u	13 	12 	: 	24 	5 u	10 u	4 
F,Y25-54,INTPRO,NEU_HDI_L,2008	32 u	: 	36 	: 	: 	: u	: c	: 	: 	: 	47 	: c	: u	32 u	9 	26 u	15 u
F,Y25-54,INTPRO,NEU_HDI_M,2008	: c	: 	: c	: c	: 	: c	: c	: c	: 	: 	6 	: c	: c	30 	4 u	12 u	: c
F,Y25-54,INTPRO,NEU_NHDI,2008	: 	: 	: 	: 	: c	: 	: 	: 	: 	: c	14 u	: u	: 	: u	40 u	61 u	: c
F,Y25-54,INTPRO,NRP,2008	: 	12 	: 	: u	: 	: c	: 	: 	: 	: 	: c	: 	: 	48 u	: 	: 	: 
F,Y25-54,OTH,EU27_FOR,2008	16 	: 	19 	16 	16 	: u	4 	11 	: c	10 	16 	11 	: u	11 u	11 	: u	13 
F,Y25-54,OTH,FOR,2008	11 	14 	17 	11 	9 	7 u	4 	6 	34 u	10 	13 	6 	10 	6 	12 	10 	12 
F,Y25-54,OTH,NEU_HDI_H,2008	: u	: 	17 	9 	8 	: u	5 	4 u	33 u	: u	9 	: u	: u	6 u	16 	10 u	11 
F,Y25-54,OTH,NEU_HDI_L,2008	: u	: 	13 u	: c	: c	: u	: c	: c	: 	: u	9 u	: 	: u	: u	11 	: c	: u
F,Y25-54,OTH,NEU_HDI_M,2008	: u	: 	7 u	: c	5 	: u	2 u	: c	: 	: u	15 	: c	: u	: u	11 	23 u	: u
F,Y25-54,OTH,NEU_NHDI,2008	: 	: 	: c	: 	: 	: 	: 	: 	: c	: c	21 u	: 	: 	: c	: u	: c	: 
F,Y25-54,OTH,NRP,2008	: 	14 	: 	: c	: 	: 	: 	: 	: 	: 	: c	: 	: 	: c	: 	: c	: 
F,Y25-54,WRK_JOB,EU27_FOR,2008	19 	: 	11 	5 u	9 	: u	12 	19 	: 	25 	10 	13 	: c	9 u	17 	: u	27 
F,Y25-54,WRK_JOB,FOR,2008	10 	7 	15 	4 	9 	: u	11 	44 	: u	22 	4 	7 	6 	3 	11 	2 u	18 
F,Y25-54,WRK_JOB,NEU_HDI_H,2008	: u	: 	13 	3 u	8 	: u	9 	41 	: u	: c	3 u	: u	: u	: u	6 	: u	9 
F,Y25-54,WRK_JOB,NEU_HDI_L,2008	: c	: 	: c	: c	: c	: c	6 u	: c	: 	: c	: 	: 	: c	: 	: u	: 	: u
F,Y25-54,WRK_JOB,NEU_HDI_M,2008	: c	: 	42 	: c	9 	: u	13 	80 	: 	: c	2 u	: u	: u	: c	15 	: c	15 u
F,Y25-54,WRK_JOB,NEU_NHDI,2008	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: c	: 	: 	: c	: 	: 
F,Y25-54,WRK_JOB,NRP,2008	: 	7 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: c
F,Y25-54,WRK_NJOB,EU27_FOR,2008	8 u	: 	30 	41 	39 	: u	35 	17 	: 	8 	5 u	18 	: u	: u	25 	10 u	13 
F,Y25-54,WRK_NJOB,FOR,2008	7 	6 	24 	45 	42 	10 	34 	16 	: u	7 	4 	16 	27 	2 u	12 	5 	11 
F,Y25-54,WRK_NJOB,NEU_HDI_H,2008	: u	: 	15 	46 	44 	: u	34 	24 	: u	: c	: u	16 	34 	: u	8 	: u	9 
F,Y25-54,WRK_NJOB,NEU_HDI_L,2008	: c	: 	: u	: u	18 u	: u	24 	: 	: 	: c	: u	: c	: u	: 	4 u	: c	: u
F,Y25-54,WRK_NJOB,NEU_HDI_M,2008	: u	: 	11 	53 	44 	: u	35 	5 u	: c	: u	4 	: u	32 	: c	7 	: c	: u
F,Y25-54,WRK_NJOB,NEU_NHDI,2008	: 	: 	: c	: 	: 	: 	: u	: 	: 	: 	9 u	: c	: 	: 	: 	: c	: 
F,Y25-54,WRK_NJOB,NRP,2008	: 	6 	: 	65 u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 
F,Y55-74,EDUC,EU27_FOR,2008	: c	: 	: u	: c	: 	: u	: u	: 	: 	: c	: c	: u	: c	8 u	14 u	: 	4 u
F,Y55-74,EDUC,FOR,2008	: u	: u	: u	: c	: c	: u	3 u	: 	: c	: c	4 u	: u	: u	4 u	14 	: 	4 u
F,Y55-74,EDUC,NEU_HDI_H,2008	: c	: 	: c	: 	: c	: u	: u	: 	: c	: 	: 	: c	: 	: c	21 u	: 	: u
F,Y55-74,EDUC,NEU_HDI_L,2008	: u	: 	: 	: 	: 	: c	: c	: 	: 	: 	: 	: 	: c	: 	: u	: 	: 
F,Y55-74,EDUC,NEU_HDI_M,2008	: c	: 	: c	: 	: 	: c	: 	: 	: 	: 	7 u	: 	: c	: 	: u	: 	: u
F,Y55-74,EDUC,NEU_NHDI,2008	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 
F,Y55-74,EDUC,NRP,2008	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
F,Y55-74,FAM,EU27_FOR,2008	64 	: 	53 	41 u	26 	61 	75 	36 	: c	71 	73 	62 	: u	37 	36 	67 	37 
F,Y55-74,FAM,FOR,2008	64 	49 	54 	30 	43 	63 	59 	44 	38 u	71 	60 	51 	58 	45 	50 	61 	39 
F,Y55-74,FAM,NEU_HDI_H,2008	59 u	: 	67 u	24 u	56 	64 	53 	59 u	37 u	84 u	63 	39 	: u	57 	45 	45 u	47 
