sex,age,reason,c_birth,time\geo	BE 	DE 	IE 	EL 	ES 	FR 	IT 	CY 	LT 	LU 	NL 	AT 	PT 	SE 	UK 	NO 	CH 
M,Y25-54,INTPRO,NRP,2008	: 	18 	: 	: u	: 	: c	: 	: 	: 	: 	: 	: 	: 	51 	: 	: 	: 
M,Y25-54,OTH,EU27_FOR,2008	17 	: 	14 	13 u	16 	: u	3 u	10 u	: c	16 	19 	9 u	: u	15 	9 	18 u	16 
M,Y25-54,OTH,FOR,2008	12 	16 	13 	5 	9 	10 u	2 	7 	45 u	16 	14 	6 	14 	11 	12 	17 	14 
M,Y25-54,OTH,NEU_HDI_H,2008	12 u	: 	15 	5 	9 	: u	2 	: u	48 u	18 u	9 	: u	: u	10 	15 	15 u	14 
M,Y25-54,OTH,NEU_HDI_L,2008	: u	: 	10 u	: 	: c	: u	: c	: c	: 	: u	11 u	: c	24 	: c	12 	: u	: u
M,Y25-54,OTH,NEU_HDI_M,2008	: u	: 	7 u	: c	3 	: u	2 u	: c	: c	: u	17 	: u	: u	11 u	11 	20 u	11 u
M,Y25-54,OTH,NEU_NHDI,2008	: 	: 	: c	: 	: 	: 	: c	: 	: 	: c	11 u	: c	: 	: 	: c	: c	: 
M,Y25-54,OTH,NRP,2008	: 	16 	: 	: c	: 	: 	: 	: 	: 	: 	: c	: 	: 	: u	: 	: c	: 
M,Y25-54,WRK_JOB,EU27_FOR,2008	27 	: 	22 	8 u	13 	30 u	22 	29 	: c	52 	36 	27 	: u	21 	31 	19 u	49 
M,Y25-54,WRK_JOB,FOR,2008	15 	15 	23 	7 	13 	11 	18 	19 	: u	48 	12 	12 	11 	8 	21 	7 u	34 
M,Y25-54,WRK_JOB,NEU_HDI_H,2008	: u	: 	32 	6 	16 	: u	16 	8 u	: u	34 u	9 	7 u	: u	5 u	20 	: u	16 
M,Y25-54,WRK_JOB,NEU_HDI_L,2008	: c	: 	18 u	12 u	8 u	: c	17 	: c	: 	: c	: u	: 	: u	: c	7 	: c	16 u
M,Y25-54,WRK_JOB,NEU_HDI_M,2008	: u	: 	26 	12 u	10 	: u	18 	27 u	: 	: u	7 	: c	: u	: c	25 	: c	29 u
M,Y25-54,WRK_JOB,NEU_NHDI,2008	: 	: 	: c	: 	: 	: 	: c	: 	: 	: 	: c	: c	: 	: 	: 	: c	: c
M,Y25-54,WRK_JOB,NRP,2008	: 	15 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: c	: 	: u	: c
M,Y25-54,WRK_NJOB,EU27_FOR,2008	14 	: 	48 	66 	52 	29 u	60 	26 	: c	10 	8 u	23 	42 	9 u	41 	9 u	14 
M,Y25-54,WRK_NJOB,FOR,2008	18 	10 	40 	73 	58 	24 	66 	33 	: u	10 	12 	32 	48 	4 	21 	6 u	18 
M,Y25-54,WRK_NJOB,NEU_HDI_H,2008	17 u	: 	19 	74 	53 	25 u	66 	56 	: u	: u	11 	40 	64 	: u	10 	: u	26 
M,Y25-54,WRK_NJOB,NEU_HDI_L,2008	: u	: 	18 	78 	76 	: u	73 	: u	: 	: c	7 u	: u	34 	: c	12 	: u	: u
M,Y25-54,WRK_NJOB,NEU_HDI_M,2008	31 	: 	20 	74 	67 	: u	69 	22 u	: c	: u	17 	: u	46 	: u	15 	: u	11 u
M,Y25-54,WRK_NJOB,NEU_NHDI,2008	: 	: 	: c	: 	: 	: 	86 	: 	: 	: 	21 u	: u	: 	: 	: c	: c	: 
M,Y25-54,WRK_NJOB,NRP,2008	: 	10 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 
M,Y55-74,EDUC,EU27_FOR,2008	: c	: 	: c	: c	: 	: 	: c	: 	: 	: 	: c	: u	: 	: u	: u	: 	3 u
M,Y55-74,EDUC,FOR,2008	: u	: u	: u	: c	4 	: u	5 u	: 	: c	: 	6 	7 u	: u	5 u	17 	: 	4 u
M,Y55-74,EDUC,NEU_HDI_H,2008	: c	: 	: c	: 	7 u	: u	: c	: 	: c	: 	: c	: c	: c	: u	19 u	: 	: u
M,Y55-74,EDUC,NEU_HDI_L,2008	: u	: 	: c	: 	: 	: u	: c	: 	: 	: 	: 	: c	: c	: c	25 u	: 	: c
M,Y55-74,EDUC,NEU_HDI_M,2008	: u	: 	: u	: 	9 u	: u	: u	: 	: 	: 	10 u	: u	: c	: c	20 u	: 	: u
M,Y55-74,EDUC,NEU_NHDI,2008	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: u	: c	: 	: 	: 	: 	: 
M,Y55-74,EDUC,NRP,2008	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
M,Y55-74,FAM,EU27_FOR,2008	30 	: 	36 	: u	12 	: u	25 u	14 u	: c	15 	43 	27 u	: c	25 	20 u	63 	14 
M,Y55-74,FAM,FOR,2008	27 	24 	34 	12 u	17 	16 	26 	15 u	: u	14 	25 	16 	: u	27 	21 	54 	13 
M,Y55-74,FAM,NEU_HDI_H,2008	: u	: 	: u	: u	29 	19 u	31 	: 	: u	: c	15 u	: u	: u	26 	22 u	28 u	8 u
M,Y55-74,FAM,NEU_HDI_L,2008	: u	: 	: c	: 	: 	: u	: c	: c	: 	: c	: u	: 	: u	: 	17 u	: c	: c
M,Y55-74,FAM,NEU_HDI_M,2008	: u	: 	: c	: c	12 u	: u	23 u	: u	: 	: 	18 	: c	: u	: c	28 u	: c	: u
M,Y55-74,FAM,NEU_NHDI,2008	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: c	: 	: c	: 
M,Y55-74,FAM,NRP,2008	: 	24 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	50 u	: 	: 	: c
M,Y55-74,INTPRO,EU27_FOR,2008	: c	: 	: 	: c	: 	: c	: c	: c	: 	: u	: c	: u	: 	8 u	: c	: c	3 u
M,Y55-74,INTPRO,FOR,2008	: u	15 	: c	17 u	: c	: u	: u	: c	: 	: u	9 	12 u	: c	18 	5 u	8 u	4 u
M,Y55-74,INTPRO,NEU_HDI_H,2008	: u	: 	: 	19 u	: c	: u	: c	: 	: 	: c	20 u	: u	: 	24 	: c	28 u	8 u
M,Y55-74,INTPRO,NEU_HDI_L,2008	: c	: 	: c	: 	: 	: u	: 	: 	: 	: 	48 u	: c	: c	: u	: u	: c	: u
M,Y55-74,INTPRO,NEU_HDI_M,2008	: 	: 	: c	: c	: 	: u	: c	: 	: 	: 	7 u	: 	: 	: u	: c	: c	: u
M,Y55-74,INTPRO,NEU_NHDI,2008	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: c	: c	: 	: 	: c	: c	: 
M,Y55-74,INTPRO,NRP,2008	: 	15 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
M,Y55-74,OTH,EU27_FOR,2008	20 	: 	41 	: u	56 	22 u	: u	63 	: c	15 	26 	22 u	: u	18 	: u	7 u	21 
M,Y55-74,OTH,FOR,2008	15 	13 	41 	16 u	35 	18 	10 	50 	: u	16 	23 	11 u	: u	16 	19 	10 u	20 
M,Y55-74,OTH,NEU_HDI_H,2008	: u	: 	: u	14 u	7 u	: u	14 u	: c	: u	: u	18 u	: u	: 	20 u	22 u	: c	17 u
M,Y55-74,OTH,NEU_HDI_L,2008	: c	: 	: u	: 	: 	: u	: c	: 	: 	: c	: c	: 	: u	: c	26 u	: 	: c
M,Y55-74,OTH,NEU_HDI_M,2008	: c	: 	: u	: c	8 u	: u	: c	: 	: 	: 	25 	: 	: c	: c	: u	: c	: u
M,Y55-74,OTH,NEU_NHDI,2008	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: c	: 	: 
M,Y55-74,OTH,NRP,2008	: 	13 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: c
M,Y55-74,WRK_JOB,EU27_FOR,2008	29 	: 	15 	: 	14 	: u	32 u	14 u	: 	54 	23 	: u	: c	30 	24 u	22 	38 
M,Y55-74,WRK_JOB,FOR,2008	26 	30 	15 	: u	14 	19 	22 	15 u	: u	54 	20 	12 	: u	21 	16 	18 	37 
M,Y55-74,WRK_JOB,NEU_HDI_H,2008	: u	: 	: c	: u	15 	: u	20 	: u	: u	: u	29 	13 u	: u	: u	: u	: c	33 
M,Y55-74,WRK_JOB,NEU_HDI_L,2008	: 	: 	: c	: c	: 	: c	: u	: 	: 	: c	: c	: 	: c	: 	: u	: c	: u
M,Y55-74,WRK_JOB,NEU_HDI_M,2008	: u	: 	: c	: 	14 u	: u	: u	: 	: 	: c	16 	: 	: c	: c	: u	: c	: u
M,Y55-74,WRK_JOB,NEU_NHDI,2008	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: u	: 	: 	: 	: 	: 	: 
M,Y55-74,WRK_JOB,NRP,2008	: 	30 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: c	: 
M,Y55-74,WRK_NJOB,EU27_FOR,2008	19 	: 	8 u	: u	18 	49 	22 u	: u	: 	15 	5 u	: u	: u	15 	37 	: c	22 
M,Y55-74,WRK_NJOB,FOR,2008	27 	17 	8 u	47 	29 	38 	35 	18 u	: u	15 	16 	42 	: u	14 	22 	10 u	22 
M,Y55-74,WRK_NJOB,NEU_HDI_H,2008	38 u	: 	: c	52 	41 	32 u	32 	66 u	: u	: c	16 u	61 	: c	14 u	18 u	: c	29 
M,Y55-74,WRK_NJOB,NEU_HDI_L,2008	: 	: 	: 	: c	: 	: u	57 u	: 	: 	: 	: c	: c	: u	: c	15 u	: c	: c
M,Y55-74,WRK_NJOB,NEU_HDI_M,2008	47 u	: 	: c	: u	58 	: u	44 u	: 	: 	: c	24 	: c	: c	: c	19 u	: c	: u
M,Y55-74,WRK_NJOB,NEU_NHDI,2008	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: u	: u	: 	: 	: 	: c	: 
M,Y55-74,WRK_NJOB,NRP,2008	: 	17 	: 	: c	: 	: c	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 
T,Y15-24,EDUC,EU27_FOR,2008	31 u	: 	7 	47 	7 u	: u	: u	: c	: 	: 	55 	45 	: c	: u	24 	: 	24 u
T,Y15-24,EDUC,FOR,2008	23 	34 	15 	14 	7 	48 u	6 	22 	: 	: c	37 	24 	: u	: u	35 	19 u	20 
T,Y15-24,EDUC,NEU_HDI_H,2008	: u	: 	38 	: c	10 	: u	9 u	: u	: 	: 	: u	: u	: c	: c	50 	53 u	14 u
T,Y15-24,EDUC,NEU_HDI_L,2008	: u	: 	55 u	: 	: 	: u	: c	67 u	: 	: 	: c	: 	: c	: c	27 	: 	: u
T,Y15-24,EDUC,NEU_HDI_M,2008	: c	: 	64 	: 	3 u	: u	: c	: c	: 	: 	: u	: c	: u	: c	57 	: c	: u
T,Y15-24,EDUC,NEU_NHDI,2008	: c	: 	: c	: 	: 	: 	: 	: 	: 	: c	86 	: c	: 	: 	: c	: 	: 
T,Y15-24,EDUC,NRP,2008	: 	34 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,Y15-24,FAM,EU27_FOR,2008	: u	: 	13 	14 u	42 	: u	60 	25 u	: 	36 u	27 u	29 u	: u	: u	8 u	: c	25 u
T,Y15-24,FAM,FOR,2008	49 	31 	14 	31 	54 	37 u	58 	26 	: c	40 	36 	49 	57 	65 	21 	42 	46 
T,Y15-24,FAM,NEU_HDI_H,2008	: u	: 	18 u	47 	54 	: u	58 	54 	: c	: 	59 	68 	54 	79 u	24 	42 u	69 
T,Y15-24,FAM,NEU_HDI_L,2008	: u	: 	: u	: 	: c	: u	46 	: c	: 	: 	32 u	: c	: u	: u	46 	50 u	: u
T,Y15-24,FAM,NEU_HDI_M,2008	92 u	: 	: u	: u	66 	: u	66 	: c	: 	: u	59 u	: u	: u	: u	24 	: u	: u
T,Y15-24,FAM,NEU_NHDI,2008	: 	: 	: c	: 	: 	: 	: u	: 	: 	: 	: c	: c	: c	: c	: u	: c	: 
T,Y15-24,FAM,NRP,2008	: 	31 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: c	: 
T,Y15-24,INTPRO,EU27_FOR,2008	: c	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: c	: c	: 	: 
T,Y15-24,INTPRO,FOR,2008	: u	: u	: u	: c	: 	: u	: 	8 u	: 	: c	10 u	11 u	: 	: u	5 	23 u	: u
T,Y15-24,INTPRO,NEU_HDI_H,2008	: c	: 	: c	: c	: 	: c	: 	: c	: 	: 	: c	: u	: 	: c	: u	: c	: u
T,Y15-24,INTPRO,NEU_HDI_L,2008	: c	: 	: u	: c	: 	: c	: 	: u	: 	: 	53 u	: c	: 	: u	13 u	48 u	: c
T,Y15-24,INTPRO,NEU_HDI_M,2008	: 	: 	: c	: c	: 	: c	: 	: u	: 	: 	: c	: 	: 	: u	: u	: c	: c
T,Y15-24,INTPRO,NEU_NHDI,2008	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c	: 	: u	: c	54 u	: c
T,Y15-24,INTPRO,NRP,2008	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,Y15-24,OTH,EU27_FOR,2008	: u	: 	7 	: c	5 u	: c	: c	: 	: 	35 u	: u	: c	: c	: c	7 u	: 	17 u
T,Y15-24,OTH,FOR,2008	: u	: u	7 	: u	4 	: u	3 u	: 	: 	31 u	9 u	: u	: c	: u	6 	: u	12 u
T,Y15-24,OTH,NEU_HDI_H,2008	: c	: 	: u	: u	6 	: c	: u	: 	: 	: 	: u	: c	: 	: c	: u	: c	: u
T,Y15-24,OTH,NEU_HDI_L,2008	: c	: 	: u	: c	: 	: c	: 	: 	: 	: 	: c	: 	: c	: c	: u	: 	: u
T,Y15-24,OTH,NEU_HDI_M,2008	: 	: 	: c	: 	: c	: c	: c	: 	: 	: 	: u	: c	: 	: c	: c	: c	: c
T,Y15-24,OTH,NEU_NHDI,2008	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 
T,Y15-24,OTH,NRP,2008	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,Y15-24,WRK_JOB,EU27_FOR,2008	: u	: 	14 	: c	6 u	: c	: u	: u	: 	: u	: u	: u	: c	: c	16 	: c	20 u
T,Y15-24,WRK_JOB,FOR,2008	: u	: u	13 	4 u	7 	: c	9 	18 	: 	: u	4 u	: u	: u	: c	9 	: u	10 u
T,Y15-24,WRK_JOB,NEU_HDI_H,2008	: 	: 	: u	: u	5 u	: c	10 	: u	: 	: 	: c	: c	: u	: 	: u	: c	: u
T,Y15-24,WRK_JOB,NEU_HDI_L,2008	: 	: 	: c	: 	: c	: 	: u	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 
T,Y15-24,WRK_JOB,NEU_HDI_M,2008	: 	: 	: u	: c	8 	: 	: u	44 u	: 	: 	: c	: 	: 	: 	: u	: 	: c
T,Y15-24,WRK_JOB,NEU_NHDI,2008	: c	: 	: 	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,Y15-24,WRK_JOB,NRP,2008	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,Y15-24,WRK_NJOB,EU27_FOR,2008	: u	: 	59 	34 	40 	: c	27 	50 u	: 	: u	: u	: u	: c	: 	44 	: c	14 u
T,Y15-24,WRK_NJOB,FOR,2008	: u	: u	50 	47 	28 	: u	24 	26 	: 	: u	4 u	: u	: u	: c	23 	10 u	9 u
T,Y15-24,WRK_NJOB,NEU_HDI_H,2008	: 	: 	24 u	43 	26 	: c	18 	: u	: 	: 	: 	: c	: u	: c	: c	: 	: u
T,Y15-24,WRK_NJOB,NEU_HDI_L,2008	: 	: 	: c	93 	: c	: c	36 u	: u	: 	: 	: 	: 	: c	: 	: u	: c	: c
T,Y15-24,WRK_NJOB,NEU_HDI_M,2008	: 	: 	: u	50 u	21 	: 	22 	: u	: 	: 	: c	: 	: c	: 	: u	: 	: c
T,Y15-24,WRK_NJOB,NEU_NHDI,2008	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 	: c	: 	: 	: 	: 	: 	: 
T,Y15-24,WRK_NJOB,NRP,2008	: 	: u	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
T,Y15-64,EDUC,EU27_FOR,2008	5 	: 	4 	9 	2 	: u	4 	: c	: 	: u	9 	14 	: u	7 	16 	5 u	5 
T,Y15-64,EDUC,FOR,2008	8 	6 	8 	2 	3 	14 	3 	6 	: u	1 u	8 	9 	4 	4 	19 	6 	6 
T,Y15-64,EDUC,NEU_HDI_H,2008	8 	: 	15 	: u	4 	12 	3 	3 u	: u	: c	4 	5 	: u	3 	26 	10 	5 
T,Y15-64,EDUC,NEU_HDI_L,2008	18 	: 	19 	: c	4 u	25 	4 	54 	: 	: c	3 u	: u	: u	: u	18 	: u	10 u
T,Y15-64,EDUC,NEU_HDI_M,2008	8 	: 	24 	: 	3 	20 	2 	5 u	: 	: 	8 	16 u	: u	: u	20 	: u	14 
T,Y15-64,EDUC,NEU_NHDI,2008	: c	: 	: c	: 	: c	: 	: c	: 	: 	: c	39 	: u	: 	: 	: u	: 	: c
T,Y15-64,EDUC,NRP,2008	: 	6 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 
T,Y15-64,FAM,EU27_FOR,2008	44 	: 	23 	24 	27 	41 	37 	40 	: u	37 	50 	35 	47 	44 	17 	60 	29 
T,Y15-64,FAM,FOR,2008	46 	44 	23 	21 	30 	47 	34 	27 	33 u	38 	49 	39 	39 	46 	31 	53 	35 
T,Y15-64,FAM,NEU_HDI_H,2008	45 	: 	27 	21 	31 	52 	36 	26 	33 u	50 	57 	43 	37 	51 	31 	52 	44 
T,Y15-64,FAM,NEU_HDI_L,2008	31 	: 	22 	14 u	25 	43 	27 	: u	: 	29 u	27 	: u	41 	46 	46 	61 	39 
T,Y15-64,FAM,NEU_HDI_M,2008	60 	: 	23 	17 	32 	51 	31 	11 	: c	55 	52 	41 	36 	47 	37 	42 	44 
T,Y15-64,FAM,NEU_NHDI,2008	: 	: 	: u	: 	: c	: 	26 u	: c	: 	: u	18 	37 u	: c	: u	25 	29 u	: u
T,Y15-64,FAM,NRP,2008	: 	44 	: 	: c	: 	: u	: 	: 	: 	: 	: u	: 	: 	35 	: 	60 u	: 
T,Y15-64,INTPRO,EU27_FOR,2008	: u	: 	0 u	: u	: c	: u	: c	: c	: 	3 	: u	6 	: 	4 	: u	: c	1 u
T,Y15-64,INTPRO,FOR,2008	9 	14 	2 	7 	0 	4 	0 	5 	: 	4 	13 	12 	: u	25 	6 	18 	4 
T,Y15-64,INTPRO,NEU_HDI_H,2008	21 	: 	4 	9 	0 u	5 u	: u	6 	: 	11 u	16 	14 	: 	31 	7 	21 	8 
T,Y15-64,INTPRO,NEU_HDI_L,2008	31 	: 	27 	: u	: c	: u	2 u	22 u	: 	: c	53 	48 	: u	38 	11 	25 	20 
T,Y15-64,INTPRO,NEU_HDI_M,2008	: u	: 	: u	: u	: c	: u	: u	8 u	: 	: c	8 	: u	: c	39 	5 	28 	5 u
T,Y15-64,INTPRO,NEU_NHDI,2008	: c	: 	: u	: 	: c	: 	: 	: 	: 	: u	11 	30 u	: 	58 u	46 	57 	: u
T,Y15-64,INTPRO,NRP,2008	: 	14 	: 	: u	: 	: c	: 	: 	: 	: 	: c	: 	: 	39 	: 	: 	: 
T,Y15-64,OTH,EU27_FOR,2008	18 	: 	16 	13 	18 	14 	3 	16 	: u	13 	17 	11 	16 	16 	10 	7 u	15 
T,Y15-64,OTH,FOR,2008	13 	15 	15 	8 	10 	9 	3 	8 	37 u	14 	14 	6 	13 	11 	12 	11 	14 
T,Y15-64,OTH,NEU_HDI_H,2008	8 	: 	15 	7 	8 	8 u	4 	4 u	37 u	13 u	10 	3 	6 	8 	15 	13 	13 
T,Y15-64,OTH,NEU_HDI_L,2008	13 u	: 	12 	: c	4 u	: u	: u	: c	: 	22 u	10 	: c	24 	: u	12 	: u	12 u
T,Y15-64,OTH,NEU_HDI_M,2008	5 u	: 	7 	7 u	4 	: u	2 	: u	: c	: u	16 	: u	: u	7 u	10 	22 	8 u
T,Y15-64,OTH,NEU_NHDI,2008	: 	: 	: c	: 	: 	: 	: c	: 	: c	: c	16 	: c	: c	: c	14 u	: u	: 
T,Y15-64,OTH,NRP,2008	: 	15 	: 	: u	: 	: 	: 	: 	: 	: 	: c	: 	: 	10 u	: 	: c	: 
T,Y15-64,WRK_JOB,EU27_FOR,2008	21 	: 	16 	5 	11 	13 u	15 	21 	: c	38 	18 	17 	: u	19 	22 	14 	37 
T,Y15-64,WRK_JOB,FOR,2008	12 	13 	18 	5 	11 	7 	14 	31 	21 u	35 	8 	9 	8 	9 	15 	6 	26 
T,Y15-64,WRK_JOB,NEU_HDI_H,2008	7 	: 	21 	5 	11 	6 u	12 	28 	22 u	20 	7 	5 	12 	4 	12 	: u	13 
T,Y15-64,WRK_JOB,NEU_HDI_L,2008	: u	: 	10 	10 u	8 	: u	14 	: c	: 	: u	: u	: 	: u	: c	4 	: u	11 u
T,Y15-64,WRK_JOB,NEU_HDI_M,2008	5 u	: 	31 	9 u	9 	: u	15 	65 	: 	: u	5 	11 u	11 	: u	18 	: u	21 
T,Y15-64,WRK_JOB,NEU_NHDI,2008	: c	: 	: c	: 	: 	: 	: u	: 	: c	: c	: u	: c	: 	: 	: c	: c	: c
T,Y15-64,WRK_JOB,NRP,2008	: 	13 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 	: 	9 u	: 	: u	: c
T,Y15-64,WRK_NJOB,EU27_FOR,2008	11 	: 	41 	47 	42 	26 	41 	21 	: c	9 	6 	18 	28 	10 	34 	13 	14 
T,Y15-64,WRK_NJOB,FOR,2008	12 	8 	34 	57 	46 	19 	45 	22 	: u	9 	8 	24 	33 	5 	17 	7 	14 
T,Y15-64,WRK_NJOB,NEU_HDI_H,2008	11 	: 	18 	58 	46 	17 	44 	33 	: u	: u	6 	31 	44 	3 u	9 	3 u	17 
T,Y15-64,WRK_NJOB,NEU_HDI_L,2008	: u	: 	10 	71 	55 	16 u	52 	12 u	: 	: c	5 u	23 u	21 	: c	8 	: u	8 u
T,Y15-64,WRK_NJOB,NEU_HDI_M,2008	20 	: 	14 	63 	51 	15 u	49 	10 	: c	18 u	10 	16 u	35 	: u	10 	: u	8 u
T,Y15-64,WRK_NJOB,NEU_NHDI,2008	: 	: 	: c	: 	: 	: 	65 	: 	: 	: 	14 	: u	: 	: 	: c	: u	: 
T,Y15-64,WRK_NJOB,NRP,2008	: 	8 	: 	55 u	: 	: c	: 	: 	: 	: 	: 	: 	: 	: u	: 	: 	: 
T,Y15-74,EDUC,EU27_FOR,2008	5 	: 	4 	9 	2 	: u	4 	: c	: 	: u	8 	13 	: u	7 	16 	3 u	5 
T,Y15-74,EDUC,FOR,2008	7 	6 	8 	2 	3 	12 	3 	5 	: u	1 u	8 	9 	4 	5 	19 	5 	6 
T,Y15-74,EDUC,NEU_HDI_H,2008	8 	: 	15 	: u	4 	10 	3 	3 u	: u	: c	3 	5 	: u	3 	25 	9 	5 
T,Y15-74,EDUC,NEU_HDI_L,2008	18 	: 	19 	: c	4 u	24 	4 	53 	: 	: c	3 u	: u	: u	: u	18 	: u	10 u
T,Y15-74,EDUC,NEU_HDI_M,2008	7 	: 	24 	: 	3 	18 	2 	5 u	: 	: 	8 	17 u	: u	: u	20 	: u	15 
T,Y15-74,EDUC,NEU_NHDI,2008	: c	: 	: c	: 	: c	: 	: c	: 	: 	: c	38 	: u	: 	: 	: u	: 	: c
T,Y15-74,EDUC,NRP,2008	: 	6 	: 	: c	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: 
T,Y15-74,FAM,EU27_FOR,2008	45 	: 	24 	25 	26 	40 	38 	38 	: u	38 	51 	36 	48 	43 	18 	62 	28 
T,Y15-74,FAM,FOR,2008	46 	42 	24 	21 	30 	46 	35 	28 	31 u	39 	48 	39 	40 	46 	31 	55 	34 
T,Y15-74,FAM,NEU_HDI_H,2008	44 	: 	28 	21 	31 	49 	37 	26 	30 u	49 	57 	42 	37 	50 	31 	52 	43 
T,Y15-74,FAM,NEU_HDI_L,2008	31 	: 	22 	14 u	26 	42 	28 	8 u	: 	29 u	27 	: u	42 	45 	45 	63 	39 
T,Y15-74,FAM,NEU_HDI_M,2008	59 	: 	23 	18 	32 	50 	31 	13 	: u	54 	49 	40 	38 	47 	37 	41 	44 
T,Y15-74,FAM,NEU_NHDI,2008	: 	: 	: u	: 	: c	: 	26 u	: c	: 	: u	20 	36 u	: c	: u	25 	29 u	: u
T,Y15-74,FAM,NRP,2008	: 	42 	: 	: c	: 	: u	: 	: 	: 	: 	: u	: 	: 	43 	: 	60 u	: c
T,Y15-74,INTPRO,EU27_FOR,2008	1 u	: 	0 u	: u	: c	: u	: c	: c	: 	3 	1 u	6 	: 	4 	: u	: c	1 u
T,Y15-74,INTPRO,FOR,2008	8 	14 	2 	7 	0 	4 	0 	5 	: c	4 	12 	12 	: u	23 	6 	15 	4 
T,Y15-74,INTPRO,NEU_HDI_H,2008	20 	: 	4 	9 	0 u	6 u	: u	6 	: c	11 u	16 	14 	: 	30 	7 	20 	8 
T,Y15-74,INTPRO,NEU_HDI_L,2008	30 	: 	26 	: u	: c	: u	2 u	21 u	: 	: c	53 	48 	: u	39 	11 	24 	20 
T,Y15-74,INTPRO,NEU_HDI_M,2008	: u	: 	: u	: u	: c	: u	: u	8 u	: 	: c	8 	: u	: c	39 	5 	27 	5 u
T,Y15-74,INTPRO,NEU_NHDI,2008	: c	: 	: u	: 	: c	: 	: c	: 	: 	: u	10 	30 u	: 	58 u	46 	57 	: u
T,Y15-74,INTPRO,NRP,2008	: 	14 	: 	: u	: 	: c	: 	: 	: 	: 	: c	: 	: 	34 	: 	: 	: 
T,Y15-74,OTH,EU27_FOR,2008	17 	: 	17 	13 	22 	16 	4 	22 	: u	13 	17 	12 	17 	18 	10 	9 	16 
T,Y15-74,OTH,FOR,2008	12 	15 	16 	8 	11 	12 	4 	11 	40 	14 	15 	7 	14 	11 	12 	12 	14 
T,Y15-74,OTH,NEU_HDI_H,2008	8 	: 	15 	7 	9 	12 	5 	4 u	41 	13 u	10 	3 	6 	9 	16 	13 	13 
T,Y15-74,OTH,NEU_HDI_L,2008	14 	: 	13 	: c	4 u	9 u	: u	: c	: 	22 u	10 	: c	24 	: u	12 	: u	12 u
T,Y15-74,OTH,NEU_HDI_M,2008	5 u	: 	7 	9 u	4 	: u	2 	: u	: c	: u	18 	: u	: u	7 u	10 	26 	8 u
T,Y15-74,OTH,NEU_NHDI,2008	: 	: 	: c	: 	: 	: 	: c	: 	: c	: c	16 	: c	: c	: c	14 u	: u	: 
T,Y15-74,OTH,NRP,2008	: 	15 	: 	: u	: 	: 	: 	: 	: 	: 	: u	: 	: 	9 u	: 	: c	: c
T,Y15-74,WRK_JOB,EU27_FOR,2008	21 	: 	15 	5 	11 	13 	15 	19 	: c	37 	18 	16 	: u	19 	22 	16 	36 
T,Y15-74,WRK_JOB,FOR,2008	13 	13 	17 	5 	11 	8 	14 	30 	21 u	34 	9 	9 	8 	9 	14 	8 	27 
T,Y15-74,WRK_JOB,NEU_HDI_H,2008	7 	: 	21 	5 	11 	6 u	12 	28 	22 u	20 	8 	6 	12 	4 	12 	: u	14 
