Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Italy,ITA,1.98577489860918,1.53844755787564,0.834275460621242,-0.85280574993206,2.15102364473378,2.88683673806503,1.26678480191715,1.83021223388438,1.81061516197623,1.6257275993546,3.78695514323979,1.95137155605238,0.253942998968455,0.138626890776507,1.42359415817907,0.817848973650598,1.79063968081796,1.48707298036786,-0.962012840579291,-5.2809372082931,1.71329583916922,0.707333347034435,-2.98090576823772,-1.84106545088248,-0.00454754236383792,0.778304350716581,1.27967112794536,1.71616738086655,0.77434001307563,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Latvia,LVA,..,..,..,..,..,-1.79878843412742,2.54605589085453,8.93924849630017,6.36516388666254,2.82779355129171,5.59519819700228,6.31906192198825,7.11596707207414,8.43638384632277,8.34135916023317,10.7433819978121,11.8880966890021,10.010851453342,-3.34636707932168,-14.2381467273088,-4.47344119778778,6.28511861493423,4.13423164998356,2.32800426344402,1.91519037794332,3.26052438137853,1.77380957693411,3.78731375779996,4.62077695023,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Lithuania,LTU,..,..,..,..,..,..,5.14995887392269,8.29322887026818,7.46717552410661,-1.13464274466837,3.83166729800301,6.52443068616948,6.76074951965822,10.5385649542543,6.55008306073013,7.72740790166723,7.40644421277685,11.086954275977,2.62807796119264,-14.8141631583267,1.48223244137165,6.02563809108096,3.8333027642867,3.55842463134766,3.50797121712733,2.03314807367339,2.55593956708222,4.24757675412258,3.64475653175535,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Luxembourg,LUX,5.31993177546022,8.64419057624002,1.81965281811752,4.2006480382002,3.82092114294026,1.43220018020473,1.38842848201479,5.70971703699894,6.04465155848581,8.48100266522123,8.23979914359427,2.53197513706755,3.81946965759437,1.6292869549314,3.61217676997076,3.17244278079178,5.17848586333136,8.35455327716321,-1.27958558128132,-4.35860695207019,4.8649684924216,2.53923488261137,-0.352519229052419,3.65437025918655,4.29678634989637,4.30643253786916,4.57460028278058,1.80118170327937,3.11083626560442,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Malta,MLT,6.29139095831171,6.25649208213194,4.69093243062588,4.48074935883751,5.6511047373605,6.34249318337497,3.77733576158332,5.25698014497532,5.12560123053601,4.71997488242206,6.77019391099778,0.608353735440303,2.98281837622594,2.54376857255379,0.443412530768299,3.78365225854667,1.82871688381287,3.98644870571982,3.34651273129842,-2.46227772166621,3.54268321383185,1.30715274940421,2.79120545970801,4.61087911489851,8.7063152210366,10.8181800118654,5.67569885391599,6.72432598112552,6.77232811144415,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Netherlands,NLD,4.18322280820233,2.43913450551463,1.70607089680321,1.25755220334295,2.96109243145828,3.11603596574939,3.49874220875684,4.32905332220884,4.6639172230081,5.03404811507453,4.19564248218455,2.32695510581596,0.217273561401441,0.155646066071881,1.98494569579117,2.05087607391015,3.46098900132874,3.77284251780152,2.17032478968935,-3.666884024935,1.34273944410323,1.5511892518082,-1.03035400660274,-0.130175228639018,1.42339540987437,1.95916969092505,2.19171371926123,2.91090258405885,2.59745361827454,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Poland,POL,..,..,..,..,..,..,6.0565767517639,6.45935385400638,4.61478486021005,4.64203359136623,4.55931252072898,1.24796411556707,2.04161758932075,3.56245614829234,5.13563617255997,3.49366763702947,6.17964134606568,7.03482830117142,4.24960850275163,2.82025975902158,3.60692826143993,5.017235199938,1.60790664456468,1.39189232124922,3.31844753700079,3.83907133877577,3.06390811613761,4.93766324502775,5.14801848357114,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Romania,ROU,..,-12.9182107304506,-8.7672284522824,1.52883449664077,3.93194272962506,6.23351148371351,3.90770208816156,-4.84906273797031,-2.02981290571719,-0.376660705759008,2.4612634592269,5.21813625673708,5.70299165043768,2.34114732919521,10.4281130180977,4.66814805084867,8.02881107599163,7.23380774362805,9.30746717077338,-5.51739440805439,-3.9012362801862,2.00715624364216,2.07716500653777,3.51455180408476,3.41080910017932,3.8715223230984,4.80079990634931,7.11144063254122,3.95381054165951,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Portugal,PRT,3.95052335579126,4.36820647933141,1.08947648536744,-2.04327704349365,0.964838228354807,4.28278040832582,3.5042473691652,4.40086796887758,4.80796343287557,3.90657649724329,3.81617784569175,1.94367248245287,0.770924141180245,-0.93052114093544,1.78873574499863,0.78184755398037,1.62503441216619,2.50657998891496,0.319247504423984,-3.12207907853588,1.73762581004311,-1.69616574359263,-4.0572938167393,-0.922644347672758,0.792191109277567,1.79204627618559,2.01948511739198,3.50634545800293,2.44126692937017,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Slovenia,SVN,..,-8.9001071506368,-5.46369909654157,2.84341791972646,5.32748770741991,4.10716055982748,3.20300197482031,5.04979437330448,3.27936819336514,5.33266686692517,3.67236899158758,3.21656104359991,3.50559938805222,2.96026024772419,4.35919303625849,3.79797049059447,5.74639693377593,6.98016242822632,3.50984122639673,-7.54843872032357,1.34374847578032,0.861329048743073,-2.63943872926306,-1.02928383130694,2.76815801959029,2.2100816239482,3.1216997819147,4.83338291255969,4.11821785906514,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Slovak Republic,SVK,..,..,..,1.90132730408163,6.2055302283329,5.84349533859489,6.61989553483538,5.92583679919336,4.07609971533984,-0.105916496078038,1.16652715796093,3.2537868430469,4.50944153271871,5.49908387750746,5.27888034834336,6.62346160878337,8.49317694925051,10.8320279014178,5.57488636038981,-5.45553223748067,5.7208447993039,2.86444294782228,1.89581081230277,0.670844582231595,2.75243433140047,4.82191850602997,2.12346322067106,3.0407283401378,4.03370304338463,..
